State,Fish Type,Average Consumption (tons),Preferred Size (cm),Price Range (INR per kg),Seasonal Availability
Andhra Pradesh,Gilt Head Bream,10.62,38.52,419.6 - 529.46,Year-round
Andhra Pradesh,Gilt Head Bream,11.69,13.0,337.77 - 421.15,Seasonal
Andhra Pradesh,Gilt Head Bream,15.62,10.62,490.97 - 624.22,Seasonal
Andhra Pradesh,Gilt Head Bream,5.01,39.77,385.24 - 496.41,Year-round
Andhra Pradesh,Gilt Head Bream,11.48,18.74,383.56 - 447.51,Seasonal
Andhra Pradesh,Gilt Head Bream,19.61,16.98,227.18 - 339.02,Seasonal
Andhra Pradesh,Red Sea Bream,12.71,27.77,213.94 - 324.69,Year-round
Andhra Pradesh,Red Sea Bream,11.76,10.4,482.66 - 588.99,Seasonal
Andhra Pradesh,Red Sea Bream,9.57,12.93,405.27 - 499.29,Year-round
Andhra Pradesh,Red Sea Bream,14.15,35.0,252.01 - 341.12,Seasonal
Andhra Pradesh,Red Sea Bream,14.94,19.35,356.02 - 460.69,Seasonal
Andhra Pradesh,Red Sea Bream,5.47,35.27,334.93 - 424.44,Seasonal
Andhra Pradesh,Sea Bass,13.97,37.66,226.55 - 296.15,Year-round
Andhra Pradesh,Sea Bass,19.42,35.34,424.2 - 528.17,Seasonal
Andhra Pradesh,Sea Bass,10.35,18.43,362.81 - 426.9,Year-round
Andhra Pradesh,Sea Bass,7.48,10.47,327.02 - 416.51,Seasonal
Andhra Pradesh,Sea Bass,5.08,34.46,412.06 - 534.96,Year-round
Andhra Pradesh,Sea Bass,14.09,37.79,395.32 - 536.82,Year-round
Andhra Pradesh,Red Mullet,14.35,19.93,219.07 - 300.17,Seasonal
Andhra Pradesh,Red Mullet,14.99,27.74,282.42 - 388.54,Year-round
Andhra Pradesh,Red Mullet,6.79,31.4,428.24 - 534.36,Year-round
Andhra Pradesh,Red Mullet,8.84,11.21,413.2 - 474.29,Seasonal
Andhra Pradesh,Red Mullet,6.62,10.94,390.92 - 472.36,Seasonal
Andhra Pradesh,Red Mullet,15.43,14.18,381.33 - 485.31,Year-round
Andhra Pradesh,Horse Mackerel,8.43,12.31,286.93 - 353.05,Seasonal
Andhra Pradesh,Horse Mackerel,14.37,18.87,231.65 - 327.3,Seasonal
Andhra Pradesh,Horse Mackerel,7.8,36.78,361.8 - 492.55,Seasonal
Andhra Pradesh,Horse Mackerel,10.34,37.2,281.64 - 396.41,Year-round
Andhra Pradesh,Horse Mackerel,17.27,35.82,202.09 - 303.16,Year-round
Andhra Pradesh,Horse Mackerel,12.27,30.77,280.82 - 355.24,Year-round
Andhra Pradesh,Black Sea Sprat,9.85,25.56,410.91 - 497.27,Year-round
Andhra Pradesh,Black Sea Sprat,8.81,17.41,408.89 - 530.12,Year-round
Andhra Pradesh,Black Sea Sprat,9.27,11.11,382.87 - 483.14,Seasonal
Andhra Pradesh,Black Sea Sprat,5.5,20.35,390.31 - 508.38,Year-round
Andhra Pradesh,Black Sea Sprat,12.34,39.57,272.62 - 389.83,Year-round
Andhra Pradesh,Black Sea Sprat,10.54,17.26,440.94 - 537.97,Seasonal
Andhra Pradesh,Striped Red Mullet,14.5,26.07,227.09 - 360.62,Seasonal
Andhra Pradesh,Striped Red Mullet,12.62,30.87,457.51 - 540.1,Seasonal
Andhra Pradesh,Striped Red Mullet,5.25,25.36,267.95 - 382.47,Seasonal
Andhra Pradesh,Striped Red Mullet,19.11,21.93,355.33 - 489.1,Year-round
Andhra Pradesh,Striped Red Mullet,10.12,13.4,477.41 - 615.14,Year-round
Andhra Pradesh,Striped Red Mullet,8.43,15.25,494.65 - 596.31,Year-round
Andhra Pradesh,Trout,8.63,12.79,469.16 - 609.21,Year-round
Andhra Pradesh,Trout,7.83,18.37,410.11 - 544.77,Seasonal
Andhra Pradesh,Trout,18.31,33.4,392.61 - 451.02,Seasonal
Andhra Pradesh,Trout,16.78,30.07,374.21 - 461.43,Year-round
Andhra Pradesh,Trout,14.95,10.15,248.24 - 353.12,Seasonal
Andhra Pradesh,Trout,11.73,39.83,252.78 - 304.59,Seasonal
Andhra Pradesh,Shrimp,9.88,32.39,394.89 - 529.81,Year-round
Andhra Pradesh,Shrimp,9.62,26.28,352.64 - 466.28,Seasonal
Andhra Pradesh,Shrimp,8.66,39.19,317.93 - 457.13,Year-round
Andhra Pradesh,Shrimp,11.52,20.5,393.53 - 510.42,Year-round
Andhra Pradesh,Shrimp,7.93,31.67,284.23 - 336.66,Year-round
Andhra Pradesh,Shrimp,5.65,39.84,340.98 - 418.94,Seasonal
Arunachal Pradesh,Gilt Head Bream,10.55,10.46,478.5 - 571.31,Year-round
Arunachal Pradesh,Gilt Head Bream,13.58,39.41,222.6 - 303.17,Seasonal
Arunachal Pradesh,Gilt Head Bream,17.77,19.51,250.85 - 356.53,Year-round
Arunachal Pradesh,Gilt Head Bream,17.66,37.9,221.12 - 292.02,Year-round
Arunachal Pradesh,Gilt Head Bream,19.85,14.2,355.5 - 493.24,Year-round
Arunachal Pradesh,Gilt Head Bream,17.73,14.1,412.67 - 517.96,Seasonal
Arunachal Pradesh,Red Sea Bream,17.14,34.3,460.12 - 601.45,Seasonal
Arunachal Pradesh,Red Sea Bream,5.08,28.84,258.28 - 315.38,Seasonal
Arunachal Pradesh,Red Sea Bream,16.94,36.7,301.4 - 388.96,Seasonal
Arunachal Pradesh,Red Sea Bream,11.58,30.16,298.45 - 363.95,Seasonal
Arunachal Pradesh,Red Sea Bream,9.3,27.72,209.15 - 262.88,Seasonal
Arunachal Pradesh,Red Sea Bream,9.55,26.11,298.0 - 430.78,Seasonal
Arunachal Pradesh,Sea Bass,8.24,28.69,225.6 - 280.77,Seasonal
Arunachal Pradesh,Sea Bass,11.17,30.99,241.51 - 304.78,Seasonal
Arunachal Pradesh,Sea Bass,12.74,19.69,438.56 - 515.64,Seasonal
Arunachal Pradesh,Sea Bass,16.16,17.53,255.3 - 313.39,Year-round
Arunachal Pradesh,Sea Bass,15.44,22.27,251.99 - 317.63,Seasonal
Arunachal Pradesh,Sea Bass,8.6,12.82,254.86 - 398.32,Year-round
Arunachal Pradesh,Red Mullet,19.32,32.14,366.31 - 477.48,Year-round
Arunachal Pradesh,Red Mullet,5.72,26.98,247.59 - 309.61,Year-round
Arunachal Pradesh,Red Mullet,6.74,11.38,212.22 - 347.76,Seasonal
Arunachal Pradesh,Red Mullet,7.63,10.51,429.01 - 559.7,Seasonal
Arunachal Pradesh,Red Mullet,7.6,23.02,319.55 - 431.14,Year-round
Arunachal Pradesh,Red Mullet,18.3,17.83,204.59 - 347.93,Seasonal
Arunachal Pradesh,Horse Mackerel,17.85,29.76,248.88 - 305.94,Year-round
Arunachal Pradesh,Horse Mackerel,19.16,36.02,390.92 - 521.02,Seasonal
Arunachal Pradesh,Horse Mackerel,10.82,29.3,337.48 - 442.04,Year-round
Arunachal Pradesh,Horse Mackerel,14.39,34.61,395.45 - 466.11,Year-round
Arunachal Pradesh,Horse Mackerel,6.04,13.02,205.47 - 264.91,Year-round
Arunachal Pradesh,Horse Mackerel,10.05,29.67,315.62 - 433.78,Seasonal
Arunachal Pradesh,Black Sea Sprat,17.22,18.46,235.45 - 355.12,Year-round
Arunachal Pradesh,Black Sea Sprat,19.05,11.18,325.38 - 472.14,Seasonal
Arunachal Pradesh,Black Sea Sprat,7.66,32.52,442.05 - 591.1,Seasonal
Arunachal Pradesh,Black Sea Sprat,6.92,17.5,374.16 - 510.87,Seasonal
Arunachal Pradesh,Black Sea Sprat,17.88,22.87,425.26 - 550.72,Year-round
Arunachal Pradesh,Black Sea Sprat,10.67,26.03,348.97 - 437.93,Year-round
Arunachal Pradesh,Striped Red Mullet,18.43,21.68,203.25 - 343.79,Seasonal
Arunachal Pradesh,Striped Red Mullet,10.32,38.7,403.03 - 501.28,Seasonal
Arunachal Pradesh,Striped Red Mullet,14.48,23.45,287.96 - 370.83,Year-round
Arunachal Pradesh,Striped Red Mullet,8.19,38.39,434.39 - 495.74,Year-round
Arunachal Pradesh,Striped Red Mullet,12.42,11.73,364.86 - 459.01,Year-round
Arunachal Pradesh,Striped Red Mullet,13.19,31.17,490.6 - 609.4,Seasonal
Arunachal Pradesh,Trout,14.27,13.03,225.23 - 345.33,Seasonal
Arunachal Pradesh,Trout,10.95,36.76,243.98 - 345.31,Seasonal
Arunachal Pradesh,Trout,19.8,21.23,311.19 - 442.47,Year-round
Arunachal Pradesh,Trout,18.62,27.76,305.07 - 425.88,Year-round
Arunachal Pradesh,Trout,16.66,26.75,327.27 - 467.9,Year-round
Arunachal Pradesh,Trout,11.52,17.61,321.56 - 428.71,Seasonal
Arunachal Pradesh,Shrimp,6.78,13.53,394.76 - 519.37,Year-round
Arunachal Pradesh,Shrimp,8.56,22.01,343.31 - 401.6,Year-round
Arunachal Pradesh,Shrimp,8.35,38.9,203.65 - 350.63,Year-round
Arunachal Pradesh,Shrimp,9.84,11.3,477.39 - 619.3,Seasonal
Arunachal Pradesh,Shrimp,13.31,39.08,356.93 - 469.87,Seasonal
Arunachal Pradesh,Shrimp,9.42,39.87,409.08 - 497.5,Year-round
Assam,Gilt Head Bream,5.68,18.43,485.12 - 624.15,Seasonal
Assam,Gilt Head Bream,6.6,20.07,250.9 - 365.59,Seasonal
Assam,Gilt Head Bream,10.3,27.51,223.32 - 370.76,Seasonal
Assam,Gilt Head Bream,11.8,10.97,283.93 - 375.05,Year-round
Assam,Gilt Head Bream,15.27,14.88,473.28 - 605.53,Seasonal
Assam,Gilt Head Bream,11.25,27.43,475.75 - 534.03,Seasonal
Assam,Red Sea Bream,17.99,11.36,207.91 - 295.56,Year-round
Assam,Red Sea Bream,12.21,39.56,313.02 - 437.98,Year-round
Assam,Red Sea Bream,19.55,35.26,451.5 - 548.37,Year-round
Assam,Red Sea Bream,7.01,10.41,222.61 - 341.78,Year-round
Assam,Red Sea Bream,20.0,39.9,366.63 - 493.53,Year-round
Assam,Red Sea Bream,16.36,21.34,272.33 - 342.83,Year-round
Assam,Sea Bass,19.31,28.19,268.59 - 385.76,Seasonal
Assam,Sea Bass,5.7,18.06,206.66 - 306.47,Seasonal
Assam,Sea Bass,16.58,25.6,455.65 - 560.85,Year-round
Assam,Sea Bass,6.33,33.75,376.99 - 474.99,Year-round
Assam,Sea Bass,16.33,28.61,411.22 - 482.52,Seasonal
Assam,Sea Bass,14.26,39.41,382.43 - 496.09,Year-round
Assam,Red Mullet,11.56,37.12,304.48 - 405.88,Seasonal
Assam,Red Mullet,18.66,18.94,357.08 - 476.84,Year-round
Assam,Red Mullet,7.21,37.8,347.63 - 423.46,Seasonal
Assam,Red Mullet,5.69,28.62,304.22 - 375.14,Year-round
Assam,Red Mullet,8.6,12.28,238.66 - 301.47,Year-round
Assam,Red Mullet,11.0,30.93,254.02 - 373.67,Year-round
Assam,Horse Mackerel,18.45,24.22,400.27 - 467.5,Seasonal
Assam,Horse Mackerel,8.36,34.65,303.52 - 388.29,Seasonal
Assam,Horse Mackerel,6.33,13.62,338.23 - 408.87,Seasonal
Assam,Horse Mackerel,6.93,19.9,296.47 - 355.7,Year-round
Assam,Horse Mackerel,14.42,12.45,462.07 - 604.16,Year-round
Assam,Horse Mackerel,5.04,36.05,225.36 - 335.08,Seasonal
Assam,Black Sea Sprat,8.14,21.11,345.36 - 457.18,Year-round
Assam,Black Sea Sprat,12.97,31.62,218.7 - 283.48,Year-round
Assam,Black Sea Sprat,15.7,36.86,353.5 - 456.71,Year-round
Assam,Black Sea Sprat,18.01,20.62,319.15 - 379.64,Year-round
Assam,Black Sea Sprat,10.66,10.6,296.62 - 367.77,Seasonal
Assam,Black Sea Sprat,13.03,17.0,302.88 - 400.28,Seasonal
Assam,Striped Red Mullet,16.84,24.95,226.08 - 329.79,Seasonal
Assam,Striped Red Mullet,13.37,27.6,369.34 - 457.21,Year-round
Assam,Striped Red Mullet,10.45,29.38,371.23 - 456.84,Year-round
Assam,Striped Red Mullet,9.96,38.01,202.26 - 274.79,Seasonal
Assam,Striped Red Mullet,8.69,14.82,255.97 - 334.48,Year-round
Assam,Striped Red Mullet,5.83,35.27,215.49 - 267.31,Year-round
Assam,Trout,19.74,13.36,319.36 - 466.3,Seasonal
Assam,Trout,5.08,39.25,347.22 - 469.51,Seasonal
Assam,Trout,18.94,26.7,371.48 - 449.48,Seasonal
Assam,Trout,8.08,39.04,413.29 - 483.24,Seasonal
Assam,Trout,8.64,13.45,383.19 - 462.05,Year-round
Assam,Trout,12.59,37.96,296.19 - 405.58,Seasonal
Assam,Shrimp,10.05,14.03,219.01 - 368.01,Year-round
Assam,Shrimp,15.27,12.64,241.65 - 291.92,Year-round
Assam,Shrimp,13.93,24.15,323.55 - 408.44,Year-round
Assam,Shrimp,17.76,32.38,322.56 - 465.85,Year-round
Assam,Shrimp,19.08,15.44,219.95 - 344.06,Seasonal
Assam,Shrimp,5.72,33.45,448.38 - 573.43,Seasonal
Bihar,Gilt Head Bream,7.45,14.93,444.37 - 560.89,Seasonal
Bihar,Gilt Head Bream,18.62,19.49,376.49 - 494.79,Seasonal
Bihar,Gilt Head Bream,11.59,21.31,338.8 - 418.94,Year-round
Bihar,Gilt Head Bream,11.58,27.32,306.61 - 395.76,Seasonal
Bihar,Gilt Head Bream,13.15,37.19,387.27 - 448.96,Seasonal
Bihar,Gilt Head Bream,9.99,31.92,408.12 - 474.79,Year-round
